URL: /
Timestamp: Thu Oct 20 2022 18:59:26 GMT-0400 (Eastern Daylight Time)
::1 - - [22/Nov/2022:01:59:56 +0000] "PUT /movie-api/users HTTP/1.1" 200 32 "-" "PostmanRuntime/7.29.2"
::1 - - [22/Nov/2022:02:01:20 +0000] "POST /movie-api/users HTTP/1.1" 200 34 "-" "PostmanRuntime/7.29.2"
::1 - - [22/Nov/2022:02:05:17 +0000] "PUT /movie-api/user/favoriteMovie HTTP/1.1" 200 44 "-" "PostmanRuntime/7.29.2"
::1 - - [22/Nov/2022:02:06:17 +0000] "DELETE /movie-api/user/:id HTTP/1.1" 200 51 "-" "PostmanRuntime/7.29.2"
::1 - - [22/Nov/2022:02:09:59 +0000] "DELETE /movie-api/favoriteMovie/:title HTTP/1.1" 404 172 "-" "PostmanRuntime/7.29.2"
::1 - - [22/Nov/2022:02:10:15 +0000] "DELETE /movie-api/user/favoriteMovie/:title HTTP/1.1" 200 39 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:20:55:36 +0000] "POST /movie-api/users HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:02:10 +0000] "POST /movie-api/users HTTP/1.1" 500 1868 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:02:55 +0000] "POST /movie-api/users HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:04:00 +0000] "POST /movie-api/users HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:05:01 +0000] "POST /movie-api/users HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:05:43 +0000] "POST /movie-api/users HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:07:18 +0000] "POST /movie-api/users HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:07:30 +0000] "POST /movie-api/users HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:11:43 +0000] "POST /movie-api/users HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:12:32 +0000] "POST /movie-api/users HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:12:46 +0000] "POST /movie-api/users HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:13:01 +0000] "POST /movie-api/users HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:15:21 +0000] "POST /movie-api/users HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:15:30 +0000] "POST /movie-api/users HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:16:09 +0000] "POST /movie-api/users HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:23:48 +0000] "POST /movie-api/users HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:24:44 +0000] "POST /movie-api/users HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:25:14 +0000] "POST /movie-api/users HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:25:27 +0000] "POST /movie-api/users HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:26:19 +0000] "POST /movie-api/users HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:33:02 +0000] "POST /movie-api/users HTTP/1.1" 200 170 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:34:57 +0000] "POST /movie-api/users HTTP/1.1" 200 129 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:36:37 +0000] "POST /movie-api/users HTTP/1.1" 200 154 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:42:35 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 404 168 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:43:03 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 200 44 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:55:27 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 500 1868 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:56:06 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:21:59:07 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" - - "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:00:10 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 200 172 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:00:34 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 200 176 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:00:44 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 200 180 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:01:23 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 200 164 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:03:41 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 200 164 "-" "PostmanRuntime/7.29.2"
::1 - - [11/Dec/2022:22:12:43 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 200 172 "-" "PostmanRuntime/7.29.2"
